Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd
GOE 474 AIRFOIL,0,-9.3015860e-02,4.2788353e-02,-3.4004711e-02,-1.8188135e-02,1.5577264e-01,1.4925883e-01,1.9977296e-01,1.7420048e-01,0.25287072,0.020582157
GOE 476 AIRFOIL,0,-1.9286456e-01,3.9714735e-02,-4.8745075e-02,-6.3931817e-02,2.6749455e-01,3.6646140e-01,2.9793703e-01,2.9429713e-01,0.41037332,0.020449621
GOE 477 AIRFOIL,0,-9.1339327e-02,5.0868232e-02,-4.6944063e-03,1.9430453e-02,1.9581583e-01,2.8595001e-01,2.8207635e-01,2.3274189e-01,0.46351366,0.017877206
GOE 478 AIRFOIL,0,-1.6997444e-01,1.9686525e-02,-8.7689160e-02,-8.4316544e-03,2.5446292e-01,2.9843741e-01,2.8360156e-01,2.7924723e-01,0.39628426,0.019204561
GOE 479 AIRFOIL,0,-1.2063913e-01,1.9571794e-03,-5.0188154e-02,2.0214869e-03,2.2553621e-01,2.8372181e-01,2.2901234e-01,2.5336494e-01,0.39043696,0.017950029
SP4621HP,0,-1.6306881e-01,-2.2599193e-01,-2.2367032e-01,3.1221466e-01,2.5932135e-01,4.1441541e-01,3.3752744e-01,3.6698226e-01,0.55745319,0.023523183
sp4721bs,0,-1.4081975e-01,-2.8474455e-01,-1.5012583e-01,2.3693073e-01,2.6528954e-01,4.3725630e-01,2.8765859e-01,4.9775937e-01,0.51882116,0.024411987
sp4721la,0,-1.5392325e-01,-2.7067845e-01,-1.7244784e-01,2.3176284e-01,2.5604983e-01,4.3101174e-01,2.9228046e-01,4.6581436e-01,0.49960496,0.023861147
SP4721LA,0,-1.5392325e-01,-2.7067845e-01,-1.7244784e-01,2.3176284e-01,2.5604983e-01,4.3101174e-01,2.9228046e-01,4.6581436e-01,0.49960496,0.023861147
SPICA  11pt73 smoothed,0,-7.9034400e-02,1.1114459e-02,-4.6252396e-02,-3.2821781e-03,2.3063717e-01,3.3888782e-01,2.1817662e-01,2.3434197e-01,0.41899367,0.018092349
spicasm,0,-7.9034400e-02,1.1114459e-02,-4.6252396e-02,-3.2821781e-03,2.3063717e-01,3.3888782e-01,2.1817662e-01,2.3434197e-01,0.41899367,0.018092349
ssca07,0,-6.3873616e-02,-5.4800736e-02,-1.0604209e-01,-4.3850164e-02,1.3483238e-01,7.5352448e-02,1.6250456e-01,8.3587382e-02,0.087137835,0.0147805219999999
ssca09,0,-8.2126074e-02,-7.0440824e-02,-1.3639727e-01,-5.6267878e-02,1.7335593e-01,9.6881314e-02,2.0893522e-01,1.0746850e-01,0.11051101,0.015632567
stcyr172,0,-2.0467153e-01,-1.8140352e-01,-1.1592412e-01,-1.7500719e-01,2.0467189e-01,1.8140333e-01,1.1592388e-01,1.7500743e-01,-1.0781755e-06,0.017684903
St CYR 172 Royer,0,-2.0467153e-01,-1.8140352e-01,-1.1592412e-01,-1.7500719e-01,2.0467189e-01,1.8140333e-01,1.1592388e-01,1.7500743e-01,-2.4535024e-06,0.017729525
ste87151,0,-8.9887268e-02,-5.6238341e-02,-2.8036016e-01,8.8651042e-02,2.1637903e-01,1.9159165e-01,3.3030803e-01,3.9044662e-01,0.34039632,0.0196148789999999
strand,0,-1.4605050e-01,-9.0406229e-02,-2.5242002e-02,7.1382910e-02,2.2003411e-01,5.0624463e-01,-6.0910474e-02,1.5782762e-01,0.24791373,0.031320161
supermarine371i,0,-1.3706520e-01,-1.1224790e-01,-2.3204371e-01,-5.6465953e-02,1.5865116e-01,1.6400798e-01,2.9908836e-01,9.9335799e-02,0.089309693,0.01711086
supermarine371ii,0,-6.5092084e-02,-4.8922537e-02,-1.6558795e-01,-2.6767485e-02,8.5013424e-02,1.0313313e-01,2.3238976e-01,6.4678998e-02,0.054835097,0.038006347
Supermarine 371I root,0,-1.3706520e-01,-1.1224790e-01,-2.3204371e-01,-5.6465953e-02,1.5865116e-01,1.6400798e-01,2.9908836e-01,9.9335799e-02,0.071341877,0.024818396
tempest1,0,-1.5047066e-01,-1.5956064e-01,-1.7250860e-01,-1.8811914e-01,1.7558110e-01,2.3093344e-01,2.2620176e-01,2.3576906e-01,0.0827247409999999,0.018858006
tempest2,0,-1.2363745e-01,-1.2913776e-01,-1.4094377e-01,-1.5381257e-01,1.4770146e-01,1.9246389e-01,1.9003453e-01,1.9654724e-01,0.045950233,0.049982889
th25816,0,-1.7245269e-01,-1.8005029e-01,-4.0473436e-01,-8.2265105e-02,2.8189744e-01,4.1724969e-01,5.3418881e-01,6.6186801e-01,0.309708,0.02818173
TH 25816 HALE AIRFOIL th25816il,0,-1.7245269e-01,-1.8005029e-01,-4.0473436e-01,-8.2265105e-02,2.8189744e-01,4.1724969e-01,5.3418881e-01,6.6186801e-01,0.25733502,0.060886639
TRAINER60 trainer60il,0,-2.3324814e-01,-2.7639104e-01,-1.5256156e-01,-1.6196886e-01,2.5887990e-01,2.6256755e-01,1.7837491e-01,1.4293288e-01,0.0022958324,0.020544808
TSAGI 12 AIRFOIL tsagi12il,0,-1.1682645e-01,-8.0558056e-02,-1.1874089e-01,-1.9426755e-01,1.6230839e-01,2.6704949e-01,1.5646913e-01,1.5103828e-01,0.0585171709999999,0.020800502
tsagi12,0,-1.1682645e-01,-8.0558056e-02,-1.1874089e-01,-1.9426755e-01,1.6230839e-01,2.6704949e-01,1.5646913e-01,1.5103828e-01,0.084308378,0.017553482
TSAGI 8 AIRFOIL tsagi8il,0,-7.7879080e-02,-5.3570204e-02,-7.9578592e-02,-1.2885968e-01,1.0786324e-01,1.7947762e-01,1.0385223e-01,1.0076928e-01,0.0463781709999999,0.0158699
tsagi8,0,-7.7879080e-02,-5.3570204e-02,-7.9578592e-02,-1.2885968e-01,1.0786324e-01,1.7947762e-01,1.0385223e-01,1.0076928e-01,0.05476985,0.015342436
tsagi_r3a,0,-1.0634865e-01,-2.8760571e-02,-8.2654401e-02,-3.3741551e-02,2.8584757e-01,2.7901054e-01,8.8985265e-02,1.9438691e-01,0.27019497,0.017711567
